layer,head,causal_drop_base,causal_drop_distractor,stability_ratio
9,9,1.626761794090271,1.2564352750778198,0.7723535674628087
8,10,0.8911364078521729,0.7439370155334473,0.8348183386721824
10,0,0.6557903289794922,0.4196493625640869,0.6399139237340143
7,9,0.5629422664642334,0.41456031799316406,0.736417111823852
10,6,0.5002305507659912,0.47034478187561035,0.9402560102644321
8,3,0.2872335910797119,0.15713953971862793,0.547079257436221
7,3,0.2787501811981201,0.32057857513427734,1.1500569210623326
11,1,0.2452373504638672,0.46155428886413574,1.8820717480069997
10,1,0.10039520263671875,0.13951897621154785,1.3896976403982066
9,6,-0.017371654510498047,0.012759208679199219,-0.7344843677088194
